No Urut,Peruntukan,Nama Persyaratan,Keterangan,Tipe File
1,PBG Non Rumah Tinggal Non Usaha Mikro Bukan Bangunan Gedung,KRK dan/atau PBG yang telah diterbitkan sebelumnya,PBG beserta lampiran gambar PBG yang telah diterbitkan sebelumnya jika bangunan telah memiliki PBG;,pdf
2,PBG Non Rumah Tinggal Non Usaha Mikro Bukan Bangunan Gedung,NIK pemohon,"NIK Pemohon dan/atau pemilik tanah atau akta pendirian badan hukum dan/atau perubahannya apabila PBG diatasnamakan badan hukum, apabila nama pemohon dan/atau pemilik tanah tidak sesuai dengan KRK/PBG lama/SPPL/Persetujuan Lingkungan/dokumen rekomendasi teknis yang telah diterbitkan sebelumnya maka pemohon harus melampirkan data NIK dan akta pendirian perusahaan jika diatasnamakan badan usaha",pdf
3,PBG Non Rumah Tinggal Non Usaha Mikro Bukan Bangunan Gedung,Bukti kepemilikan hak atas tanah,1. sertipikat hak atas tanah; atau 2. bukti penguasaan atas tanah antara lain: a) petok/letter C; b) girik; c) akta jual beli; d) ikatan jual beli disertai dengan tanda bukti lunas; dan/atau e) bukti kepemilikan hak lainnya sesuai dengan peraturan perundang-undangan di bidang pertanahan yang dapat dilengkapi dengan bukti peralihan hak atas tanah sesuai peraturan perundang-undangan atau tanda bukti perjanjian pemanfaatan tanah dan surat persetujuan dari pemilik tanah apabila nama pemilik dalam bukti kepemilikan tanah berbeda dengan nama pemohon;,pdf
4,PBG Non Rumah Tinggal Non Usaha Mikro Bukan Bangunan Gedung,SPTJM PBG,,pdf
5,PBG Non Rumah Tinggal Non Usaha Mikro Bukan Bangunan Gedung,Surat Kuasa disertai KTP apabila dikuasakan,,pdf
6,PBG Non Rumah Tinggal Non Usaha Mikro Bukan Bangunan Gedung,Akta pendirian dan/atau perubahannya bagi pemohon berbentuk badan hukum,,pdf
7,PBG Non Rumah Tinggal Non Usaha Mikro Bukan Bangunan Gedung,Foto lokasi persil/bangunan yang diajukan PBG,,"pdf,jpg,jpeg,png"
8,PBG Non Rumah Tinggal Non Usaha Mikro Bukan Bangunan Gedung,Rekomendasi Cagar Budaya apabila bangunan merupakan bangunan cagar budaya/berada dikawasan cagar budaya,,pdf
9,PBG Non Rumah Tinggal Non Usaha Mikro Bukan Bangunan Gedung,Gambar rencana teknis bangunan berupa softfile dalam format Computer Aided Design (CAD),,dwg
10,PBG Non Rumah Tinggal Non Usaha Mikro Bukan Bangunan Gedung,Data struktur yang ditandatangani oleh perencana struktur apabila bangunan belum berdiri,,dwg
